       time              0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60            61            62            63            64            65            66            67            68            69            70            71            72            73            74            75            76            77            78            79            80            81            82            83            84            85            86            87            88            89            90            91            92            93            94            95            96            97            98            99           100           101           102           103           104           105           106           107           108           109           110           111           112           113           114           115           116           117           118           119           120           121           122           123           124           125           126           127           128           129           130           131           132           133           134           135           136           137           138           139           140           141           142           143           144           145           146           147           148           149           150  
          V      0.0000000     412.31975     411.61723     410.91472     410.38355     410.38054     410.37754     410.37454     410.82464     412.59900     414.37336     416.14772     418.32580     420.60529     422.88477     425.46827     429.18618     432.90410     436.62201     440.25344     443.73097     447.20851     450.68604     454.47980     459.26276     464.04573     468.82870     473.93471     479.54127     485.14783     490.75439     496.36663     502.42500     508.48336     514.54173     520.83722     527.69360     534.54999     541.40637     548.48245     555.64590     562.80934     569.97572     578.98303     587.99033     596.99763     606.04148     615.09332     624.14516     633.19700     642.96250     652.74499     662.52748     672.31395     684.68371     697.05347     709.42323     721.25541     732.84846     744.44151     757.61227     772.27395     786.93495     801.00094     815.06694     829.33207     845.59227     861.85248     877.13161     891.19761     905.26361     920.83596     937.70866     954.58135     971.52474     988.56441    1005.60408    1023.28920    1042.18194    1061.07469    1079.88392    1097.59207    1115.30022    1133.71165    1154.91626    1176.12086    1197.35472    1218.78282    1240.21092    1265.30187    1290.46041    1314.37056    1338.03566    1361.15987    1384.03963    1411.01269    1439.31157    1460.73967    1482.16777    1505.59833    1530.26253    1561.41168    1590.15220    1615.12396    1640.09572    1668.33169    1699.48084    1730.52315    1761.49157    1795.35499    1831.24086    1866.62287    1901.71811    1936.81335    1971.90859    2007.00383    2043.35433    2081.40111    2126.12868    2168.76899    2210.99681    2253.60966    2296.27099    2339.20227    2384.28432    2438.14157    2492.95337    2544.46098    2587.12231    2631.15750    2683.48880    2740.39776    2798.84759    2859.93347    2924.41449    2990.49360    2999.80837    3009.12314    3018.43792    3027.44893    3036.42620    3045.40346    3053.68901    3061.81288    3069.82242    3076.50688    3083.19135    3091.20311    3099.32698    3107.49626    3115.85792  
         A6     0.00012292    0.00012336    0.00111426    0.00310633    0.00611042    0.01013757    0.01519895    0.02130591    0.02846996    0.03670278    0.04601624    0.05642235    0.06793333    0.08056157    0.09431965    0.10922034    0.12527660    0.14250159    0.16090866    0.18051138    0.20132352    0.22335906    0.24663220    0.27115736    0.29694919    0.32402257    0.35239259    0.38207461    0.41308422    0.44543726    0.47914981    0.51423822    0.55071911    0.58860936    0.62792613    0.66868683    0.71090921    0.75461126    0.79981129    0.84652792    0.89478006    0.94458695    0.99596816    1.04894356    1.10353338    1.15975820    1.21763893    1.27719685    1.33845360    1.40143120    1.46615206    1.53263896    1.60091509    1.67100404    1.74292985    1.81671693    1.89239017    1.96997490    2.04949688    2.13098236    2.21445805    2.29995117    2.38748941    2.47710099    2.56881464    2.66265962    2.75866576    2.85686341    2.95728354    3.05995766    3.16491790    3.27219700    3.38182835    3.33801946    3.29425701    3.25054166    3.20687411    3.16325504    3.11968518    3.07616524    3.03269597    2.98927812    2.94591246    2.90259978    2.85934087    2.81613655    2.77298767    2.72989506    2.68685960    2.64388217    2.60096367    2.55810504    2.51530722    2.47257116    2.42989785    2.38728829    2.34474352    2.30226458    2.25985253    2.21750848    2.17523354    2.13302885    2.09089559    2.04883494    2.00684814    1.96493641    1.92310105    1.88134336    1.83966468    1.79806636    1.75654981    1.71511647    1.67376779    1.63250527    1.59133045    1.55024490    1.50925023    1.46834808    1.42754015    1.38682817    1.34621390    1.30569916    1.26528581    1.22497577    1.18477099    1.14467346    1.10468526    1.06480849    1.02504531    0.98539795    0.94586868    0.90645985    0.86717385    0.82801315    0.78898029    0.75007787    0.71130855    0.67267509    0.63418030    0.59582709    0.55761843    0.51955740    0.48164715    0.44389092    0.40629205    0.36885397    0.33158023    0.29447445    0.25754039    0.22078191    0.18420299  
         K1     3.20554127    3.21985581    3.23426658    3.24877461    3.26338097    3.27808671    3.29289293    3.30780074    3.32281124    3.33792557    3.35314489    3.36847036    3.38390318    3.39944454    3.41509566    3.43085779    3.44673219    3.46272013    3.47882291    3.49504185    3.51137829    3.52783358    3.54440911    3.56110628    3.57792651    3.59487124    3.61194194    3.62914010    3.64646725    3.66392491    3.68151465    3.69923805    3.71709674    3.73509235    3.75322655    3.77150103    3.78991752    3.80847776    3.82718353    3.84603664    3.86503893    3.88419226    3.90349854    3.92295971    3.94257771    3.96235456    3.98229229    4.00239295    4.02265866    4.04309156    4.06369382    4.08446765    4.10541530    4.12653908    4.14784131    4.16932437    4.19099067    4.21284268    4.23488289    4.25711386    4.27953819    4.30215851    4.32497752    4.34799795    4.37122261    4.39465433    4.41829601    4.44215061    4.46622111    4.49051060    4.51502219    4.53975907    4.56472446    4.61461703    4.66501480    4.71592508    4.76735531    4.81931309    4.87180617    4.92484242    4.97842991    5.03257684    5.08729159    5.14258270    5.19845887    5.25492901    5.31200219    5.36968765    5.42799485    5.48693342    5.54651322    5.60674429    5.66763690    5.72920150    5.79144882    5.85438977    5.91803551    5.98239745    6.04748723    6.11331677    6.17989822    6.24724402    6.31536687    6.38427977    6.45399600    6.52452915    6.59589310    6.66810206    6.74117056    6.81511347    6.88994601    6.96568374    7.04234259    7.11993888    7.19848930    7.27801095    7.35852133    7.44003837    7.52258045    7.60616636    7.69081540    7.77654732    7.86338237    7.95134131    8.04044540    8.13071649    8.22217695    8.31484973    8.40875838    8.50392707    8.60038060    8.69814441    8.79724465    8.89770813    8.99956242    9.10283580    9.20755736    9.31375697    9.42146533    9.53071398    9.64153539    9.75396289    9.86803082    9.98377445   10.10123011   10.22043516   10.34142807   10.46424844   10.58893706   10.71553593   10.84408832  
         a1     0.00015018   -0.00015125   -0.00045698   -0.00076710   -0.00108124   -0.00139785   -0.00171797   -0.00204168   -0.00236641   -0.00268546   -0.00300551   -0.00332660   -0.00364525   -0.00396351   -0.00428224   -0.00459822   -0.00490139   -0.00520337   -0.00550427   -0.00580532   -0.00610770   -0.00640955   -0.00671096   -0.00700715   -0.00728702   -0.00756544   -0.00784256   -0.00811295   -0.00837326   -0.00863203   -0.00888938   -0.00914535   -0.00939183   -0.00963703   -0.00988109   -0.01011954   -0.01034599   -0.01057138   -0.01079582   -0.01101505   -0.01123176   -0.01144784   -0.01166334   -0.01184068   -0.01201756   -0.01219410   -0.01236967   -0.01254498   -0.01272031   -0.01289575   -0.01305691   -0.01321811   -0.01337978   -0.01354196   -0.01365309   -0.01376561   -0.01387956   -0.01400542   -0.01413726   -0.01427046   -0.01437509   -0.01445372   -0.01453500   -0.01462975   -0.01472685   -0.01482278   -0.01488597   -0.01495250   -0.01503915   -0.01514924   -0.01526180   -0.01535171   -0.01542321   -0.01509470   -0.01477559   -0.01446507   -0.01416413   -0.01386350   -0.01355639   -0.01325925   -0.01297252   -0.01270735   -0.01244959   -0.01219131   -0.01191138   -0.01164051   -0.01137791   -0.01112162   -0.01087313   -0.01060122   -0.01033825   -0.01009382   -0.00985882   -0.00963468   -0.00941855   -0.00918158   -0.00894408   -0.00875554   -0.00857125   -0.00837982   -0.00818640   -0.00796463   -0.00776200   -0.00758290   -0.00740793   -0.00722270   -0.00703018   -0.00684361   -0.00666247   -0.00647569   -0.00628739   -0.00610648   -0.00593168   -0.00576165   -0.00559609   -0.00543469   -0.00527395   -0.00511297   -0.00494046   -0.00477790   -0.00462068   -0.00446675   -0.00431656   -0.00416943   -0.00402200   -0.00386406   -0.00370946   -0.00356402   -0.00343387   -0.00330398   -0.00316622   -0.00302629   -0.00288801   -0.00275034   -0.00261280   -0.00247720   -0.00238909   -0.00229857   -0.00220551   -0.00210997   -0.00201156   -0.00191010   -0.00180578   -0.00169804   -0.00158659   -0.00147176   -0.00135254   -0.00122810   -0.00109870   -0.00096403   -0.00082368  
         a3    11.37422448   11.45331218   11.53325864   11.61407791   11.69578437   11.77839270   11.86191792   11.94637539   12.03178079   12.11815017   12.20549996   12.29384693   12.38320827   12.47360153   12.56504471   12.65755620   12.75115483   12.84585987   12.94169107   13.03866862   13.13681323   13.23614609   13.33668890   13.43846391   13.54149392   13.64580227   13.75141291   13.85835039   13.96663985   14.07630712   14.18737864   14.29988157   14.41384375   14.52929377   14.64626094   14.76477538   14.88486799   15.00657050   15.12991551   15.25493648   15.38166782   15.51014487   15.64040394   15.77248236   15.90641853   16.04225192   16.18002312   16.31977390   16.46154724   16.60538736   16.75133979   16.89945140   17.04977047   17.20234671   17.35723134   17.51447717   17.67413858   17.83627169   18.00093432   18.16818614   18.33808871   18.51070554   18.68610221   18.86434640   19.04550803   19.22965932   19.41687488   19.60723185   19.80080996   19.99769167   20.19796227   20.40171002   20.60902627   20.79367466   20.98146778   21.17248667   21.36681515   21.56454000   21.76575103   21.97054127   22.17900708   22.39124830   22.60736844   22.82747481   23.05167872   23.28009568   23.51284556   23.75005282   23.99184675   24.23836169   24.48973726   24.74611865   25.00765689   25.27450915   25.54683906   25.82481701   26.10862055   26.39843477   26.69445264   26.99687552   27.30591356   27.62178621   27.94472272   28.27496275   28.61275687   28.95836729   29.31206848   29.67414791   30.04490683   30.42466112   30.81374217   31.21249785   31.62129354   32.04051326   32.47056088   32.91186138   33.36486230   33.83003522   34.30787740   34.79891358   35.30369786   35.82281582   36.35688679   36.90656626   37.47254865   38.05557015   38.65641199   39.27590386   39.91492781   40.57442238   41.25538721   41.95888812   42.68606267   43.43812626   44.21637897   45.02221301   45.85712106   46.72270548   47.62068859   48.55292411   49.52140990   50.52830230   51.57593211   52.66682266   53.80371003   54.98956603   56.22762410   57.52140877   58.87476914   60.29191718   61.77747147  
         a4   -13.52120141  -13.62278800  -13.72547765  -13.82898855  -13.93337342  -14.03999695  -14.14769231  -14.25635357  -14.36664171  -14.47843513  -14.59221626  -14.70773995  -14.82650557  -14.94622607  -15.06619199  -15.18755944  -15.31285361  -15.43971027  -15.56927483  -15.70245781  -15.84024703  -15.97631311  -16.11126097  -16.24889034  -16.38893050  -16.53130442  -16.67712172  -16.82517431  -16.97564079  -17.12802170  -17.28367457  -17.44217531  -17.60283603  -17.76566438  -17.93448959  -18.10583261  -18.28045925  -18.45833288  -18.64010204  -18.82915496  -19.02309428  -19.22294863  -19.43311861  -19.65288079  -19.88720957  -20.13787171  -20.40351004  -20.70704773  -21.07190999  -21.54016329  -22.08040090  -22.59817786  -22.97450833  -23.30313443  -23.53840640  -23.77138420  -23.99501659  -24.19964603  -24.40645818  -24.61769197  -24.82303323  -25.02356237  -25.23358533  -25.44694194  -25.63921555  -25.84753670  -26.03421221  -26.24203035  -26.44644234  -26.65382745  -26.84905924  -27.05978206  -27.27097740  -27.43910888  -27.60866017  -27.78493088  -27.95800875  -28.13976770  -28.32982062  -28.53455377  -28.72788554  -28.92668546  -29.13627845  -29.34546361  -29.56429797  -29.79759555  -30.03974864  -30.28190653  -30.52891457  -30.78747089  -31.05102404  -31.31655128  -31.59129516  -31.88286878  -32.17211251  -32.47853213  -32.79746394  -33.12602437  -33.42707636  -33.76652600  -34.10060499  -34.44906190  -34.81041471  -35.18626679  -35.57167855  -35.96626476  -36.36938126  -36.78406286  -37.21716708  -37.66077930  -38.11528662  -38.58109541  -39.05997283  -39.55500492  -40.06281267  -40.58381960  -41.11993333  -41.67283911  -42.24393645  -42.83369569  -43.43774195  -44.05751606  -44.70079268  -45.36768844  -46.05436361  -46.76296240  -47.49346585  -48.24918791  -49.03501857  -49.84602268  -50.68183744  -51.54417365  -52.43675927  -53.36149575  -54.31843433  -55.30928689  -56.33588881  -57.40021036  -58.50436931  -59.65064497  -60.84149392  -62.07956759  -63.36407992  -64.69888084  -66.08996293  -67.53537712  -69.01306151  -70.55735828  -72.19861990  -73.91723877  -75.73009597  
      omega    16.48321678   16.51678322   16.55034965   16.58391608   16.61748252   16.65104895   16.68461538   16.71818182   16.75174825   16.78531469   16.81888112   16.85244755   16.88601399   16.91958042   16.95314685   16.98671329   17.02027972   17.05384615   17.08741259   17.12097902   17.15454545   17.18811189   17.22167832   17.25524476   17.28881119   17.32237762   17.35594406   17.38951049   17.42307692   17.45664336   17.49020979   17.52377622   17.55734266   17.59090909   17.62447552   17.65804196   17.69160839   17.72517483   17.75874126   17.79230769   17.82587413   17.85944056   17.89300699   17.92657343   17.96013986   17.99370629   18.02727273   18.06083916   18.09440559   18.12797203   18.16153846   18.19510490   18.22867133   18.26223776   18.29580420   18.32937063   18.36293706   18.39650350   18.43006993   18.46363636   18.49720280   18.53076923   18.56433566   18.59790210   18.63146853   18.66503497   18.69860140   18.73216783   18.76573427   18.79930070   18.83286713   18.86643357   18.90000000   19.06500000   19.23000000   19.39500000   19.56000000   19.72500000   19.89000000   20.05500000   20.22000000   20.38500000   20.55000000   20.71500000   20.88000000   21.04500000   21.21000000   21.37500000   21.54000000   21.70500000   21.87000000   22.03500000   22.20000000   22.36500000   22.53000000   22.69500000   22.86000000   23.02500000   23.19000000   23.35500000   23.52000000   23.68500000   23.85000000   24.01500000   24.18000000   24.34500000   24.51000000   24.67500000   24.84000000   25.00500000   25.17000000   25.33500000   25.50000000   25.66500000   25.83000000   25.99500000   26.16000000   26.32500000   26.49000000   26.65500000   26.82000000   26.98500000   27.15000000   27.31500000   27.48000000   27.64500000   27.81000000   27.97500000   28.14000000   28.30500000   28.47000000   28.63500000   28.80000000   28.96500000   29.13000000   29.29500000   29.46000000   29.62500000   29.79000000   29.95500000   30.12000000   30.28500000   30.45000000   30.61500000   30.78000000   30.94500000   31.11000000   31.27500000   31.44000000   31.60500000   31.77000000  
  sigma_ins     0.12462937    0.12537063    0.12611189    0.12685315    0.12759441    0.12833566    0.12907692    0.12981818    0.13055944    0.13130070    0.13204196    0.13278322    0.13352448    0.13426573    0.13500699    0.13574825    0.13648951    0.13723077    0.13797203    0.13871329    0.13945455    0.14019580    0.14093706    0.14167832    0.14241958    0.14316084    0.14390210    0.14464336    0.14538462    0.14612587    0.14686713    0.14760839    0.14834965    0.14909091    0.14983217    0.15057343    0.15131469    0.15205594    0.15279720    0.15353846    0.15427972    0.15502098    0.15576224    0.15650350    0.15724476    0.15798601    0.15872727    0.15946853    0.16020979    0.16095105    0.16169231    0.16243357    0.16317483    0.16391608    0.16465734    0.16539860    0.16613986    0.16688112    0.16762238    0.16836364    0.16910490    0.16984615    0.17058741    0.17132867    0.17206993    0.17281119    0.17355245    0.17429371    0.17503497    0.17577622    0.17651748    0.17725874    0.17800000    0.17832500    0.17865000    0.17897500    0.17930000    0.17962500    0.17995000    0.18027500    0.18060000    0.18092500    0.18125000    0.18157500    0.18190000    0.18222500    0.18255000    0.18287500    0.18320000    0.18352500    0.18385000    0.18417500    0.18450000    0.18482500    0.18515000    0.18547500    0.18580000    0.18612500    0.18645000    0.18677500    0.18710000    0.18742500    0.18775000    0.18807500    0.18840000    0.18872500    0.18905000    0.18937500    0.18970000    0.19002500    0.19035000    0.19067500    0.19100000    0.19132500    0.19165000    0.19197500    0.19230000    0.19262500    0.19295000    0.19327500    0.19360000    0.19392500    0.19425000    0.19457500    0.19490000    0.19522500    0.19555000    0.19587500    0.19620000    0.19652500    0.19685000    0.19717500    0.19750000    0.19782500    0.19815000    0.19847500    0.19880000    0.19912500    0.19945000    0.19977500    0.20010000    0.20042500    0.20075000    0.20107500    0.20140000    0.20172500    0.20205000    0.20237500    0.20270000    0.20302500    0.20335000  
    phi_tvc     0.00002686    0.00002709    0.00002732    0.00002754    0.00002777    0.00002799    0.00002822    0.00002844    0.00002867    0.00002889    0.00002912    0.00002934    0.00002957    0.00002979    0.00003002    0.00003025    0.00003047    0.00003070    0.00003092    0.00003115    0.00003137    0.00003160    0.00003182    0.00003205    0.00003227    0.00003250    0.00003273    0.00003295    0.00003318    0.00003340    0.00003363    0.00003385    0.00003408    0.00003430    0.00003453    0.00003475    0.00003498    0.00003521    0.00003543    0.00003566    0.00003588    0.00003611    0.00003633    0.00003656    0.00003678    0.00003701    0.00003723    0.00003746    0.00003769    0.00003791    0.00003814    0.00003836    0.00003859    0.00003881    0.00003904    0.00003926    0.00003949    0.00003971    0.00003994    0.00004016    0.00004039    0.00004062    0.00004084    0.00004107    0.00004129    0.00004152    0.00004174    0.00004197    0.00004219    0.00004242    0.00004264    0.00004287    0.00004310    0.00004327    0.00004345    0.00004362    0.00004380    0.00004397    0.00004415    0.00004432    0.00004450    0.00004467    0.00004485    0.00004502    0.00004520    0.00004537    0.00004555    0.00004572    0.00004590    0.00004607    0.00004625    0.00004642    0.00004660    0.00004677    0.00004695    0.00004712    0.00004730    0.00004747    0.00004765    0.00004782    0.00004800    0.00004817    0.00004835    0.00004852    0.00004870    0.00004887    0.00004905    0.00004922    0.00004940    0.00004957    0.00004975    0.00004992    0.00005010    0.00005027    0.00005045    0.00005062    0.00005080    0.00005097    0.00005115    0.00005132    0.00005150    0.00005167    0.00005185    0.00005202    0.00005220    0.00005237    0.00005255    0.00005272    0.00005290    0.00005307    0.00005325    0.00005343    0.00005360    0.00005378    0.00005395    0.00005413    0.00005430    0.00005448    0.00005465    0.00005483    0.00005500    0.00005518    0.00005535    0.00005553    0.00005570    0.00005588    0.00005605    0.00005623    0.00005640    0.00005658    0.00005675  
    phi_ins     0.77257143    0.77295238    0.77333333    0.77371429    0.77409524    0.77447619    0.77485714    0.77523810    0.77561905    0.77600000    0.77638095    0.77676190    0.77714286    0.77752381    0.77790476    0.77828571    0.77866667    0.77904762    0.77942857    0.77980952    0.78019048    0.78057143    0.78095238    0.78133333    0.78171429    0.78209524    0.78247619    0.78285714    0.78323810    0.78361905    0.78400000    0.78438095    0.78476190    0.78514286    0.78552381    0.78590476    0.78628571    0.78666667    0.78704762    0.78742857    0.78780952    0.78819048    0.78857143    0.78895238    0.78933333    0.78971429    0.79009524    0.79047619    0.79085714    0.79123810    0.79161905    0.79200000    0.79238095    0.79276190    0.79314286    0.79352381    0.79390476    0.79428571    0.79466667    0.79504762    0.79542857    0.79580952    0.79619048    0.79657143    0.79695238    0.79733333    0.79771429    0.79809524    0.79847619    0.79885714    0.79923810    0.79961905    0.80000000    0.79625000    0.79250000    0.78875000    0.78500000    0.78125000    0.77750000    0.77375000    0.77000000    0.76625000    0.76250000    0.75875000    0.75500000    0.75125000    0.74750000    0.74375000    0.74000000    0.73625000    0.73250000    0.72875000    0.72500000    0.72125000    0.71750000    0.71375000    0.71000000    0.70625000    0.70250000    0.69875000    0.69500000    0.69125000    0.68750000    0.68375000    0.68000000    0.67625000    0.67250000    0.66875000    0.66500000    0.66125000    0.65750000    0.65375000    0.65000000    0.64625000    0.64250000    0.63875000    0.63500000    0.63125000    0.62750000    0.62375000    0.62000000    0.61625000    0.61250000    0.60875000    0.60500000    0.60125000    0.59750000    0.59375000    0.59000000    0.58625000    0.58250000    0.57875000    0.57500000    0.57125000    0.56750000    0.56375000    0.56000000    0.55625000    0.55250000    0.54875000    0.54500000    0.54125000    0.53750000    0.53375000    0.53000000    0.52625000    0.52250000    0.51875000    0.51500000    0.51125000    0.50750000  
